. ,FLAG_NM,CRTFC_NO_CN,AREA_NM,SAFE_CNSDR_ACT_AT,FULL_AGE9_12_TRGET_NMPR_CN,FULL_AGE13_15_TRGET_NMPR_CN,FULL_AGE16_18_TRGET_NMPR_CN,FULL_AGE19_24_TRGET_NMPR_CN,TRGET_AGE_ETC_NMPR_CN,TOT_TRGET_NMPR_CN,PROGRM_NM,INSTT_NM,VALID_PD_BEGIN_DE,VALID_PD_END_DE,OPER_STATE_NM,ADDR
4064,활동,0707D04C-06484,경기도,N,0명,0명,600명,0명,0명,600명,창의지성역량 개발을 위한 학교연계 고등학교 1박2일 과정,경기도청소년야영장,20170405,20210404,종료,경기 광주시 퇴촌면 우산리 388-3
4065,활동,0707D04B-06487,경기도,N,0명,450명,0명,0명,0명,450명,창의지성역량 개발을 위한 학교연계 중학교 2박3일 과정,경기도청소년야영장,20170405,20210404,종료,경기 광주시 퇴촌면 우산리 388-3
4066,활동,0946D07C-06461,경기도,N,0명,0명,461명,0명,0명,461명,오늘은 休요일(2박3일 고등학교 B형),경기도청소년수련원,20170405,20210404,종료,경기도 안산시 단원구 선감로 255 (선감동) 경기도청소년수련원
4067,활동,4067D07A-06480,충청북도,N,200명,0명,0명,0명,0명,200명,"청소년 사회성함양 캠프 ""응답하라! 호암""(2박3일, 초등학교)",충주시청소년(수련원)(이전),20170405,20210404,종료,충청북도 충주시 호암동 중원대로 3324 충주시청소년수련원 (호암동)
4068,활동,3493D07B-06520,전라북도,N,0명,150명,0명,0명,0명,150명,"부안청소년수련원 줄캠프(1박2일, 중학생)",부안청소년수련원,20170405,20210404,종료,전라북도 부안군 변산면 마포리 87-26(참뽕로 434-26)
4069,활동,0689D07A-06540,인천광역시,N,350명,0명,0명,0명,0명,350명,하모니 7효 캠프 초등학생 (2박3일),성산청소년효재단(성산청소년수련원),20170405,20210404,종료,인천광역시 강화군 선원면 충렬사로178번길 116 성산청소년수련원 .
4070,활동,4437A01B-06511,대전광역시,N,0명,40명,0명,0명,0명,40명,레이저태그스포츠,제이엔엘 그룹,20170405,20210404,종료,대전광역시 서구 대덕대로 325 (월평동) 스타겡트 씨네몰 5층
4071,활동,4431D02A-06543,대전광역시,N,60명,0명,0명,0명,0명,60명,리틀게이츠 과학영재캠프 초등학교,(사)대전기독교청소년협회,20170405,20210404,종료,대전광역시 유성구 대학로 28 (봉명동) 1307호
4072,활동,0959D07C-06494,경기도,N,0명,0명,400명,0명,0명,400명,2박3일 수련활동 - 어울林(고등학교),너리굴문화마을엄마청소년수련원,20170405,20210404,종료,경기 안성시 보개면 신장리 63-1 너리굴문화마을
4073,활동,4346A07B-06521,전라북도,N,0명,100명,0명,0명,0명,100명,청소년미래비전탐색,상관유스호스텔,20170405,20210404,종료,전라북도 완주군 상관면 죽림편백길 118-38 상관유스호스텔
4074,활동,3630A08E-06477,충청북도,N,0명,0명,0명,0명,30명,30명,청소년진로-UP(가족),진천군청소년수련관,20170405,20210404,종료,충청북도 진천군 진천읍 읍내1리 포석길 37-10
4075,활동,0959D07A-06493,경기도,N,400명,0명,0명,0명,0명,400명,2박3일 수련활동 - 어울林 (초등학교),너리굴문화마을엄마청소년수련원,20170405,20210404,종료,경기 안성시 보개면 신장리 63-1 너리굴문화마을
4076,활동,3630A05E-06476,충청북도,N,0명,0명,0명,0명,30명,30명,종·달·세(종이로 달라지는 세상)[가족],진천군청소년수련관,20170405,20210404,종료,충청북도 진천군 진천읍 읍내1리 포석길 37-10
4077,활동,0959D07B-06491,경기도,N,0명,200명,0명,0명,0명,200명,1박2일 임원수련활동 - 청.사.진(중학교),너리굴문화마을엄마청소년수련원,20170405,20210404,종료,경기 안성시 보개면 신장리 63-1 너리굴문화마을
4078,활동,4925A02B-07343,서울특별시,N,0명,240명,0명,0명,0명,240명,창의융합 소프트웨어(코딩)중등Ⅰ,서울융합교육체험캠프,20180404,20210404,종료,서울특별시 송파구 풍성로14길 56 (풍납동) 서울창의마을 풍납캠프
4079,활동,0789D07A-06545,경상남도,N,400명,0명,0명,0명,0명,400명,"덕유산캠프""가슴을열어라""(1박2일초등)",덕유산청소년수련원,20170405,20210404,종료,경남 거창군 고제면 개명리 2010
4080,활동,0789D07B-06544,경상남도,N,0명,400명,0명,0명,0명,400명,"덕유산캠프""가슴을열어라""(2박3일중등)",덕유산청소년수련원,20170405,20210404,종료,경남 거창군 고제면 개명리 2010
4081,활동,4115A07A-06522,전라북도,N,140명,0명,0명,0명,0명,140명,"숲 속 친구들의 지혜를 배우는 감성교육 프로그램(당일,초등학교)",유한회사 세인반석 (지점),20170405,20210404,종료,전라북도 완주군 경천면 시우동길 70-6 세인청소년수련원 유한회사 세인반석 지점
4082,활동,0959D07C-06490,경기도,N,0명,0명,200명,0명,0명,200명,1박2일 임원수련활동 - 청.사.진(고등학교),너리굴문화마을엄마청소년수련원,20170405,20210404,종료,경기 안성시 보개면 신장리 63-1 너리굴문화마을
4083,활동,4115A07A-06523,전라북도,N,140명,0명,0명,0명,0명,140명,"자연과 함께 하는 창의성 향상 프로그램(당일,초등학교)",유한회사 세인반석 (지점),20170405,20210404,종료,전라북도 완주군 경천면 시우동길 70-6 세인청소년수련원 유한회사 세인반석 지점
4084,활동,4447A07F-06534,충청남도,N,3명,2명,0명,0명,5명,10명,패밀리베이킹,예산군청소년미래센터,20170405,20210404,종료,충청남도 예산군 고덕면 대천2길 5-4 예산군청소년미래센터
4085,활동,0789D07C-06546,경상남도,N,0명,0명,400명,0명,0명,400명,"덕유산 캠프 ""가슴을열어라""(2박3일고등)",덕유산청소년수련원,20170405,20210404,종료,경남 거창군 고제면 개명리 2010
4086,활동,4398A07B-06465,경기도,N,0명,90명,0명,0명,0명,90명,두드림과 열림,둘다섯해누리재활승마센터,20170405,20210404,종료,경기도 화성시 서신면 밸미길 87-31 445-882 둘다섯해누리 재활승마센터
4087,활동,3854A07F-06553,경기도,N,0명,10명,10명,0명,0명,20명,아(我)자(自)!교실,마두청소년수련관,20170405,20210404,종료,경기도 고양시 일산동구 마두동 일산로 220 마두청소년수련관
4088,활동,0689D07A-06541,인천광역시,N,350명,0명,0명,0명,0명,350명,하모니 7효 캠프 초등학생 (1박2일),성산청소년효재단(성산청소년수련원),20170405,20210404,종료,인천광역시 강화군 선원면 충렬사로178번길 116 성산청소년수련원 .
4089,활동,2261F04B-07398,경상남도,Y,0명,392명,0명,0명,0명,392명,공동체의식함양,합천군청소년수련관,20180404,20210403,종료,경남 합천군 용주면 봉기리 585-6
4090,활동,2180B01E-07432,충청남도,N,15명,15명,15명,0명,15명,60명,가족 놀이터,논산시청소년문화센터,20180404,20210403,종료,충청남도 논산시 논산대로 424 (지산동) 논산시청소년문화센터
4091,활동,2180B02B-07433,충청남도,N,0명,10명,0명,0명,0명,10명,드론 메이커,논산시청소년문화센터,20180404,20210403,종료,충청남도 논산시 논산대로 424 (지산동) 논산시청소년문화센터
4092,활동,2180A05B-07434,충청남도,N,0명,30명,0명,0명,0명,30명,창의 예술과의 만남,논산시청소년문화센터,20180404,20210403,종료,충청남도 논산시 논산대로 424 (지산동) 논산시청소년문화센터
4093,활동,0760A07A-08434,전라남도,N,15명,0명,0명,0명,0명,15명,권리란 무엇인가?,나주시청소년수련관,20190403,20210402,종료,전라남도 나주시 죽림길 34 (죽림동) (죽림동 60-172)
